2013-12-03 16:11:28 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu16
2013-12-03 16:11:28 status unpacked libnih-dbus1:amd64 1.0.3-4ubuntu16
2013-12-03 16:11:28 install libnih1:amd64 <none> 1.0.3-4ubuntu16
2013-12-03 16:11:28 status half-installed libnih1:amd64 1.0.3-4ubuntu16
2013-12-03 16:11:28 status unpacked libnih1:amd64 1.0.3-4ubuntu16
2013-12-03 16:11:28 status unpacked libnih1:amd64 1.0.3-4ubuntu16
2013-12-03 16:11:29 install libpam-modules:amd64 <none> 1.1.3-8ubuntu3
2013-12-03 16:11:29 status half-installed libpam-modules:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:29 status unpacked libpam-modules:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:29 status unpacked libpam-modules:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:30 install libpam-modules-bin:amd64 <none> 1.1.3-8ubuntu3
2013-12-03 16:11:30 status half-installed libpam-modules-bin:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:30 status unpacked libpam-modules-bin:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:30 status unpacked libpam-modules-bin:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:30 install libpam-runtime:all <none> 1.1.3-8ubuntu3
2013-12-03 16:11:30 status half-installed libpam-runtime:all 1.1.3-8ubuntu3
2013-12-03 16:11:30 status unpacked libpam-runtime:all 1.1.3-8ubuntu3
2013-12-03 16:11:30 status unpacked libpam-runtime:all 1.1.3-8ubuntu3
2013-12-03 16:11:31 install libpam0g:amd64 <none> 1.1.3-8ubuntu3
2013-12-03 16:11:31 status half-installed libpam0g:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:31 status unpacked libpam0g:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:31 status unpacked libpam0g:amd64 1.1.3-8ubuntu3
2013-12-03 16:11:31 install libpcre3:amd64 <none> 1:8.31-2
2013-12-03 16:11:31 status half-installed libpcre3:amd64 1:8.31-2
2013-12-03 16:11:32 status unpacked libpcre3:amd64 1:8.31-2
2013-12-03 16:11:32 status unpacked libpcre3:amd64 1:8.31-2
2013-12-03 16:11:32 install libplymouth2:amd64 <none> 0.8.8-0ubuntu8
2013-12-03 16:11:32 status half-installed libplymouth2:amd64 0.8.8-0ubuntu8
2013-12-03 16:11:32 status unpacked libplymouth2:amd64 0.8.8-0ubuntu8
2013-12-03 16:11:32 status unpacked libplymouth2:amd64 0.8.8-0ubuntu8
2013-12-03 16:11:32 install libpng12-0:amd64 <none> 1.2.49-4ubuntu1
2013-12-03 16:11:32 status half-installed libpng12-0:amd64 1.2.49-4ubuntu1
2013-12-03 16:11:33 status unpacked libpng12-0:amd64 1.2.49-4ubuntu1
2013-12-03 16:11:33 status unpacked libpng12-0:amd64 1.2.49-4ubuntu1
2013-12-03 16:11:33 install libprocps0:amd64 <none> 1:3.3.3-2ubuntu7
2013-12-03 16:11:33 status half-installed libprocps0:amd64 1:3.3.3-2ubuntu7
2013-12-03 16:11:33 status unpacked libprocps0:amd64 1:3.3.3-2ubuntu7
2013-12-03 16:11:33 status unpacked libprocps0:amd64 1:3.3.3-2ubuntu7
2013-12-03 16:11:34 install libselinux1:amd64 <none> 2.1.13-2
2013-12-03 16:11:34 status half-installed libselinux1:amd64 2.1.13-2
2013-12-03 16:11:34 status unpacked libselinux1:amd64 2.1.13-2
2013-12-03 16:11:34 status unpacked libselinux1:amd64 2.1.13-2
2013-12-03 16:11:34 install libsemanage-common:all <none> 2.1.10-2
2013-12-03 16:11:34 status half-installed libsemanage-common:all 2.1.10-2
2013-12-03 16:11:34 status unpacked libsemanage-common:all 2.1.10-2
2013-12-03 16:11:34 status unpacked libsemanage-common:all 2.1.10-2
2013-12-03 16:11:35 install libsemanage1:amd64 <none> 2.1.10-2
2013-12-03 16:11:35 status half-installed libsemanage1:amd64 2.1.10-2
2013-12-03 16:11:35 status unpacked libsemanage1:amd64 2.1.10-2
2013-12-03 16:11:35 status unpacked libsemanage1:amd64 2.1.10-2
2013-12-03 16:11:35 install libsepol1:amd64 <none> 2.1.9-2
2013-12-03 16:11:35 status half-installed libsepol1:amd64 2.1.9-2
2013-12-03 16:11:36 status unpacked libsepol1:amd64 2.1.9-2
2013-12-03 16:11:36 status unpacked libsepol1:amd64 2.1.9-2
2013-12-03 16:11:36 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2013-12-03 16:11:36 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2013-12-03 16:11:36 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2013-12-03 16:11:36 status unpacked libslang2:amd64 2.2.4-15ubuntu1
